,year,region,geography,males,females,total
288,1978,south,Arkansas,3814.0,174.0,3988.0
289,1978,south,Delaware,1261.0,64.0,1325.0
290,1978,south,District of Columbia,4076.0,195.0,4271.0
291,1978,south,Florida,30187.0,1554.0,31741.0
292,1978,south,Georgia,18695.0,900.0,19595.0
293,1978,south,Kentucky,5303.0,236.0,5539.0
294,1978,south,Louisiana,12079.0,444.0,12523.0
295,1978,south,Maryland,11140.0,379.0,11519.0
296,1978,south,Mississippi,5095.0,228.0,5323.0
297,1978,south,North Carolina,15353.0,697.0,16050.0
298,1978,south,Oklahoma,5560.0,330.0,5890.0
299,1978,south,South Carolina,9515.0,383.0,9898.0
300,1978,south,Tennessee,9904.0,484.0,10388.0
301,1978,south,Texas,33938.0,1632.0,35570.0
302,1978,south,Virginia,12044.0,532.0,12576.0
303,1978,south,West Virginia,2225.0,78.0,2303.0
304,1978,west,Alaska,719.0,37.0,756.0
305,1978,west,Arizona,5438.0,519.0,5957.0
306,1978,west,California,44214.0,3317.0,47531.0
307,1978,west,Colorado,4017.0,150.0,4167.0
308,1978,west,Hawaii,690.0,37.0,727.0
309,1978,west,Idaho,1280.0,61.0,1341.0
310,1978,west,Montana,979.0,35.0,1014.0
311,1978,west,Nevada,2095.0,167.0,2262.0
312,1978,west,New Mexico,2267.0,120.0,2387.0
313,1978,west,Oregon,4507.0,244.0,4751.0
314,1978,west,Utah,1518.0,69.0,1587.0
315,1978,west,Washington,6524.0,416.0,6940.0
316,1978,west,Wyoming,657.0,44.0,701.0
317,1979,aggregate,Federal,24835.0,1536.0,26371.0
318,1979,aggregate,Midwest,61039.0,2576.0,63615.0
319,1979,aggregate,Northeast,42413.0,1313.0,43726.0
320,1979,aggregate,South,131006.0,5422.0,136428.0
321,1979,aggregate,State Total,276627.0,11459.0,288086.0
322,1979,aggregate,U.S. Total,301462.0,12995.0,314457.0
323,1979,aggregate,West,42169.0,2148.0,44317.0
324,1979,midwest,Illinois,11469.0,466.0,11935.0
325,1979,midwest,Indiana,5475.0,192.0,5667.0
326,1979,midwest,Iowa,2176.0,96.0,2272.0
327,1979,midwest,Kansas,2208.0,82.0,2290.0
328,1979,midwest,Michigan,14374.0,628.0,15002.0
329,1979,midwest,Minnesota,2017.0,77.0,2094.0
330,1979,midwest,Missouri,5076.0,203.0,5279.0
331,1979,midwest,Nebraska,1228.0,63.0,1291.0
332,1979,midwest,North Dakota,184.0,2.0,186.0
333,1979,midwest,Ohio,12762.0,598.0,13360.0
334,1979,midwest,South Dakota,538.0,24.0,562.0
335,1979,midwest,Wisconsin,3532.0,145.0,3677.0
336,1979,northeast,Connecticut,3919.0,142.0,4061.0
337,1979,northeast,Maine,758.0,18.0,776.0
338,1979,northeast,Massachusetts,2837.0,87.0,2924.0
339,1979,northeast,New Hampshire,311.0,5.0,316.0
340,1979,northeast,New Jersey,5664.0,188.0,5852.0
341,1979,northeast,New York,20259.0,597.0,20856.0
342,1979,northeast,Pennsylvania,7524.0,248.0,7772.0
343,1979,northeast,Rhode Island,721.0,17.0,738.0
344,1979,northeast,Vermont,420.0,11.0,431.0
345,1979,south,Alabama,5221.0,243.0,5464.0
346,1979,south,Arkansas,2927.0,115.0,3042.0
347,1979,south,Delaware,1355.0,64.0,1419.0
348,1979,south,District of Columbia,2899.0,74.0,2973.0
349,1979,south,Florida,18919.0,829.0,19748.0
350,1979,south,Georgia,11556.0,550.0,12106.0
351,1979,south,Kentucky,3550.0,141.0,3691.0
352,1979,south,Louisiana,7382.0,236.0,7618.0
353,1979,south,Maryland,7638.0,222.0,7860.0
354,1979,south,Mississippi,3401.0,107.0,3508.0
355,1979,south,North Carolina,13691.0,564.0,14255.0
356,1979,south,Oklahoma,4073.0,177.0,4250.0
357,1979,south,South Carolina,7327.0,316.0,7643.0
358,1979,south,Tennessee,6346.0,283.0,6629.0
359,1979,south,Texas,25355.0,1167.0,26522.0
360,1979,south,Virginia,8148.0,301.0,8449.0
361,1979,south,West Virginia,1218.0,33.0,1251.0
362,1979,west,Alaska,729.0,31.0,760.0
363,1979,west,Arizona,3573.0,176.0,3749.0
364,1979,west,California,21400.0,1232.0,22632.0
365,1979,west,Colorado,2587.0,81.0,2668.0
366,1979,west,Hawaii,809.0,47.0,856.0
367,1979,west,Idaho,796.0,34.0,830.0
368,1979,west,Montana,695.0,20.0,715.0
369,1979,west,Nevada,1475.0,91.0,1566.0
370,1979,west,New Mexico,1509.0,47.0,1556.0
371,1979,west,Oregon,3059.0,120.0,3179.0
372,1979,west,Utah,926.0,34.0,960.0
373,1979,west,Washington,4137.0,205.0,4342.0
374,1979,west,Wyoming,474.0,30.0,504.0
375,1980,aggregate,Federal,22964.0,1399.0,24363.0
376,1980,aggregate,Midwest,63621.0,2590.0,66211.0
377,1980,aggregate,Northeast,44333.0,1463.0,45796.0
378,1980,aggregate,South,140599.0,5759.0,146358.0
379,1980,aggregate,State Total,293437.0,12021.0,305458.0
380,1980,aggregate,U.S. Total,439228.0,27143.0,466371.0
381,1980,aggregate,West,44884.0,2209.0,47093.0
382,1980,midwest,Illinois,18058.0,1250.0,19308.0
383,1980,midwest,Indiana,8904.0,315.0,9219.0
384,1980,midwest,Iowa,2619.0,170.0,2789.0
385,1980,midwest,Kansas,5589.0,142.0,5731.0
386,1980,midwest,Michigan,19000.0,938.0,19938.0
387,1980,midwest,Minnesota,4086.0,219.0,4305.0
388,1980,midwest,Missouri,7907.0,364.0,8271.0
389,1980,midwest,Nebraska,1828.0,172.0,2000.0
390,1980,midwest,North Dakota,468.0,21.0,489.0
391,1980,midwest,Ohio,17937.0,1177.0,19114.0
392,1980,midwest,South Dakota,1082.0,231.0,1313.0
393,1980,midwest,Wisconsin,5859.0,313.0,6172.0
394,1980,northeast,Connecticut,4510.0,206.0,4702.0
395,1980,northeast,Maine,1053.0,24.0,1077.0
396,1980,northeast,Massachusetts,4939.0,328.0,5267.0
397,1980,northeast,New Hampshire,474.0,5.0,474.0
398,1980,northeast,New Jersey,9704.0,557.0,10261.0
399,1980,northeast,New York,32369.0,1388.0,33757.0
400,1980,northeast,Pennsylvania,15788.0,591.0,16379.0
401,1980,northeast,Rhode Island,787.0,26.0,813.0
402,1980,northeast,Vermont,464.0,17.0,480.0
403,1980,south,Alabama,7620.0,536.0,8156.0
404,1980,south,Arkansas,3588.0,142.0,3730.0
405,1980,south,Delaware,1417.0,78.0,1474.0
406,1980,south,District of Columbia,3075.0,106.0,3145.0
407,1980,south,Florida,28477.0,1731.0,30208.0
408,1980,south,Georgia,18318.0,1150.0,19468.0
409,1980,south,Kentucky,7042.0,678.0,7720.0
410,1980,south,Louisiana,13060.0,838.0,13898.0
411,1980,south,Maryland,10460.0,432.0,10892.0
412,1980,south,Mississippi,4359.0,238.0,4597.0
413,1980,south,North Carolina,18577.0,1873.0,20450.0
414,1980,south,Oklahoma,6458.0,247.0,6671.0
415,1980,south,South Carolina,8778.0,327.0,9085.0
416,1980,south,Tennessee,10124.0,369.0,10493.0
417,1980,south,Texas,39207.0,2261.0,41468.0
418,1980,south,Virginia,14110.0,530.0,14640.0
419,1980,south,West Virginia,1906.0,1063.0,2969.0
420,1980,west,Alaska,801.0,33.0,822.0
421,1980,west,Arizona,5705.0,354.0,6059.0
422,1980,west,California,49868.0,4432.0,54300.0
423,1980,west,Colorado,4529.0,208.0,4737.0
424,1980,west,Hawaii,954.0,84.0,985.0
425,1980,west,Idaho,1372.0,26.0,1398.0
426,1980,west,Montana,834.0,48.0,882.0
427,1980,west,Nevada,1739.0,111.0,1839.0
428,1980,west,New Mexico,1686.0,77.0,1763.0
429,1980,west,Oregon,4523.0,259.0,4782.0
430,1980,west,Utah,1849.0,170.0,2019.0
431,1980,west,Washington,7425.0,324.0,7749.0
432,1980,west,Wyoming,550.0,49.0,599.0
433,1981,aggregate,Federal,26574.0,1559.0,28133.0
434,1981,aggregate,Midwest,70236.0,2980.0,73216.0
435,1981,aggregate,Northeast,52027.0,1881.0,53908.0
436,1981,aggregate,South,152846.0,6671.0,159517.0
437,1981,aggregate,State Total,327819.0,13978.0,341797.0
438,1981,aggregate,U.S. Total,354393.0,15537.0,369930.0
439,1981,aggregate,West,52710.0,2446.0,55156.0
440,1981,midwest,Illinois,13870.0,458.0,14328.0
441,1981,midwest,Indiana,7736.0,286.0,8022.0
442,1981,midwest,Iowa,2556.0,114.0,2670.0
443,1981,midwest,Kansas,2625.0,145.0,2770.0
444,1981,midwest,Michigan,14527.0,630.0,15157.0
445,1981,midwest,Minnesota,1910.0,56.0,1966.0
446,1981,midwest,Missouri,6224.0,265.0,6489.0
447,1981,midwest,Nebraska,1426.0,62.0,1488.0
448,1981,midwest,North Dakota,277.0,3.0,280.0
449,1981,midwest,Ohio,14205.0,763.0,14968.0
450,1981,midwest,South Dakota,664.0,29.0,693.0
451,1981,midwest,Wisconsin,4216.0,169.0,4385.0
452,1981,northeast,Connecticut,5011.0,252.0,5263.0
453,1981,northeast,Maine,966.0,26.0,992.0
454,1981,northeast,Massachusetts,3697.0,192.0,3889.0
455,1981,northeast,New Hampshire,391.0,7.0,398.0
456,1981,northeast,New Jersey,6725.0,286.0,7011.0
457,1981,northeast,New York,24728.0,766.0,25494.0
458,1981,northeast,Pennsylvania,9053.0,312.0,9365.0
459,1981,northeast,Rhode Island,937.0,25.0,962.0
460,1981,northeast,Vermont,519.0,15.0,534.0
461,1981,south,Alabama,7339.0,318.0,7657.0
462,1981,south,Arkansas,3197.0,131.0,3328.0
463,1981,south,Delaware,1637.0,75.0,1712.0
464,1981,south,District of Columbia,3363.0,116.0,3479.0
465,1981,south,Florida,22595.0,994.0,23589.0
466,1981,south,Georgia,11839.0,605.0,12444.0
467,1981,south,Kentucky,3863.0,130.0,3993.0
468,1981,south,Louisiana,9071.0,344.0,9415.0
469,1981,south,Maryland,9031.0,304.0,9335.0
470,1981,south,Mississippi,4475.0,149.0,4624.0
471,1981,south,North Carolina,15133.0,637.0,15770.0
472,1981,south,Oklahoma,5006.0,275.0,5281.0
473,1981,south,South Carolina,8177.0,361.0,8538.0
474,1981,south,Tennessee,7502.0,395.0,7897.0
475,1981,south,Texas,30050.0,1452.0,31502.0
476,1981,south,Virginia,9040.0,348.0,9388.0
477,1981,south,West Virginia,1528.0,37.0,1565.0
478,1981,west,Alaska,977.0,47.0,1024.0
479,1981,west,Arizona,4986.0,237.0,5223.0
480,1981,west,California,27775.0,1427.0,29202.0
481,1981,west,Colorado,2691.0,81.0,2772.0
482,1981,west,Hawaii,1158.0,49.0,1207.0
483,1981,west,Idaho,932.0,25.0,957.0
484,1981,west,Montana,807.0,24.0,831.0
485,1981,west,Nevada,2030.0,86.0,2116.0
486,1981,west,New Mexico,1407.0,90.0,1497.0
487,1981,west,Oregon,3192.0,103.0,3295.0
488,1981,west,Utah,1099.0,41.0,1140.0
489,1981,west,Washington,5124.0,212.0,5336.0
490,1981,west,Wyoming,532.0,24.0,556.0
491,1982,aggregate,Federal,28046.0,1627.0,29673.0
492,1982,aggregate,Midwest,74872.0,3440.0,78312.0
493,1982,aggregate,Northeast,57353.0,1972.0,59325.0
494,1982,aggregate,South,173602.0,7849.0,181451.0
495,1982,aggregate,State Total,367975.0,16158.0,384133.0
496,1982,aggregate,U.S. Total,396021.0,17785.0,413806.0
497,1982,aggregate,West,62148.0,2897.0,65045.0
498,1982,midwest,Illinois,13806.0,487.0,14293.0
499,1982,midwest,Indiana,8440.0,350.0,8790.0
500,1982,midwest,Iowa,2708.0,121.0,2829.0
501,1982,midwest,Kansas,2918.0,160.0,3078.0
502,1982,midwest,Michigan,14289.0,624.0,14913.0
503,1982,midwest,Minnesota,2008.0,73.0,2081.0
504,1982,midwest,Missouri,7051.0,394.0,7445.0
505,1982,midwest,Nebraska,1658.0,81.0,1739.0
506,1982,midwest,North Dakota,312.0,10.0,322.0
507,1982,midwest,Ohio,16417.0,900.0,17317.0
508,1982,midwest,South Dakota,748.0,43.0,791.0
509,1982,midwest,Wisconsin,4517.0,197.0,4714.0
510,1982,northeast,Connecticut,4952.0,204.0,5156.0
511,1982,northeast,Maine,1080.0,30.0,1110.0
512,1982,northeast,Massachusetts,4117.0,217.0,4334.0
513,1982,northeast,New Hampshire,435.0,10.0,445.0
514,1982,northeast,New Jersey,7867.0,324.0,8191.0
